record_id,Amount,fraud_score,decision,signal_features,local_signals,threshold
15225,99.99,0.9994980195818186,Review,"V14, V10, V12",V14=-8.579 (SHAP contribution +0.126); V10=-8.859 (SHAP contribution +0.078); V12=-8.088 (SHAP contribution +0.073),0.5
142405,12.31,0.9994964845769363,Review,"V14, V10, V12",V14=-10.194 (SHAP contribution +0.130); V10=-8.746 (SHAP contribution +0.080); V12=-8.164 (SHAP contribution +0.077),0.5
64411,99.99,0.9994918801482018,Review,"V14, V10, V17",V14=-6.778 (SHAP contribution +0.129); V10=-5.997 (SHAP contribution +0.080); V17=-6.858 (SHAP contribution +0.075),0.5
151519,1.63,0.9994830049473244,Review,"V14, V12, V17",V14=-7.014 (SHAP contribution +0.108); V12=-13.812 (SHAP contribution +0.082); V17=-16.668 (SHAP contribution +0.079),0.5
77682,1.0,0.9994804283626496,Review,"V14, V10, V17",V14=-7.140 (SHAP contribution +0.115); V10=-9.332 (SHAP contribution +0.080); V17=-12.121 (SHAP contribution +0.077),0.5
42958,9.99,0.9994786909766913,Review,"V14, V10, V17",V14=-9.798 (SHAP contribution +0.121); V10=-14.676 (SHAP contribution +0.079); V17=-20.741 (SHAP contribution +0.077),0.5
30496,111.7,0.999475487281038,Review,"V14, V10, V12",V14=-8.605 (SHAP contribution +0.131); V10=-7.834 (SHAP contribution +0.082); V12=-7.781 (SHAP contribution +0.073),0.5
151008,1.0,0.9994754356622637,Review,"V14, V12, V10",V14=-3.926 (SHAP contribution +0.094); V12=-10.592 (SHAP contribution +0.080); V10=-22.187 (SHAP contribution +0.079),0.5
11343,1.0,0.9994656739334098,Review,"V14, V12, V10",V14=-14.492 (SHAP contribution +0.116); V12=-14.564 (SHAP contribution +0.082); V10=-13.348 (SHAP contribution +0.076),0.5
14211,99.99,0.9994614428222743,Review,"V14, V10, V12",V14=-9.575 (SHAP contribution +0.126); V10=-9.153 (SHAP contribution +0.078); V12=-8.779 (SHAP contribution +0.073),0.5
81186,45.64,0.9994450862853091,Review,"V14, V17, V12",V14=-7.460 (SHAP contribution +0.116); V17=-9.875 (SHAP contribution +0.081); V12=-6.849 (SHAP contribution +0.076),0.5
243749,1.0,0.9994167033751574,Review,"V14, V17, V12",V14=-13.969 (SHAP contribution +0.126); V17=-5.970 (SHAP contribution +0.077); V12=-9.002 (SHAP contribution +0.075),0.5
43428,364.19,0.9994063066456844,Review,"V14, V17, V12",V14=-9.374 (SHAP contribution +0.117); V17=-19.236 (SHAP contribution +0.078); V12=-10.834 (SHAP contribution +0.077),0.5
77348,0.01,0.9993515698873776,Review,"V14, V10, V17",V14=-6.174 (SHAP contribution +0.134); V10=-4.881 (SHAP contribution +0.078); V17=-6.537 (SHAP contribution +0.074),0.5
243699,1.0,0.9992348716957696,Review,"V14, V12, V10",V14=-14.267 (SHAP contribution +0.118); V12=-9.321 (SHAP contribution +0.077); V10=-3.473 (SHAP contribution +0.074),0.5
143336,252.92,0.9895121711698978,Review,"V14, V10, V12",V14=-11.608 (SHAP contribution +0.125); V10=-8.538 (SHAP contribution +0.076); V12=-8.682 (SHAP contribution +0.075),0.5
143333,0.0,0.9895121711698978,Review,"V14, V10, V12",V14=-11.534 (SHAP contribution +0.124); V10=-8.410 (SHAP contribution +0.076); V12=-8.577 (SHAP contribution +0.075),0.5
141260,512.25,0.9895039585572769,Review,"V14, V10, V12",V14=-12.875 (SHAP contribution +0.131); V10=-8.338 (SHAP contribution +0.077); V12=-9.425 (SHAP contribution +0.072),0.5
154719,0.0,0.9894757363671354,Review,"V14, V12, V17",V14=-10.128 (SHAP contribution +0.123); V12=-10.263 (SHAP contribution +0.079); V17=-8.656 (SHAP contribution +0.077),0.5
14197,99.99,0.9894617796900294,Review,"V14, V10, V12",V14=-9.825 (SHAP contribution +0.126); V10=-9.223 (SHAP contribution +0.078); V12=-8.952 (SHAP contribution +0.073),0.5
8615,1.0,0.9894608213523419,Review,"V14, V10, V12",V14=-18.822 (SHAP contribution +0.126); V10=-13.193 (SHAP contribution +0.075); V12=-17.632 (SHAP contribution +0.069),0.5
52584,1.0,0.989443711761854,Review,"V14, V17, V12",V14=-4.452 (SHAP contribution +0.128); V17=-5.249 (SHAP contribution +0.093); V12=-3.522 (SHAP contribution +0.077),0.5
6108,59.0,0.9893454467903005,Review,"V14, V17, V10",V14=-6.771 (SHAP contribution +0.130); V17=-12.598 (SHAP contribution +0.082); V10=-4.802 (SHAP contribution +0.076),0.5
102444,1.0,0.9893109868312449,Review,"V14, V17, V12",V14=-9.073 (SHAP contribution +0.114); V17=-6.248 (SHAP contribution +0.076); V12=-4.611 (SHAP contribution +0.071),0.5
102442,1.0,0.9893109868312449,Review,"V14, V17, V12",V14=-9.073 (SHAP contribution +0.114); V17=-6.248 (SHAP contribution +0.076); V12=-4.611 (SHAP contribution +0.071),0.5
6529,1.0,0.9892849789066944,Review,"V14, V10, V12",V14=-6.608 (SHAP contribution +0.136); V10=-6.235 (SHAP contribution +0.087); V12=-7.334 (SHAP contribution +0.081),0.5
19145,89.99,0.9892538917536965,Review,"V14, V10, V17",V14=-8.778 (SHAP contribution +0.133); V10=-6.625 (SHAP contribution +0.076); V17=-8.126 (SHAP contribution +0.072),0.5
229712,1.18,0.9891992523137823,Review,"V14, V10, V12",V14=-9.151 (SHAP contribution +0.130); V10=-4.063 (SHAP contribution +0.080); V12=-6.151 (SHAP contribution +0.079),0.5
30100,60.6,0.9891048230125853,Review,"V14, V17, V10",V14=-9.378 (SHAP contribution +0.130); V17=-9.094 (SHAP contribution +0.094); V10=-3.552 (SHAP contribution +0.084),0.5
111690,238.9,0.9889661027902789,Review,"V14, V10, V17",V14=-6.192 (SHAP contribution +0.130); V10=-4.684 (SHAP contribution +0.090); V17=-6.189 (SHAP contribution +0.083),0.5
241445,10.7,0.9795438056518664,Review,"V14, V17, V10",V14=-7.624 (SHAP contribution +0.137); V17=-6.717 (SHAP contribution +0.090); V10=-4.760 (SHAP contribution +0.087),0.5
141257,0.0,0.9795193041220973,Review,"V14, V10, V12",V14=-12.991 (SHAP contribution +0.130); V10=-8.099 (SHAP contribution +0.076); V12=-9.446 (SHAP contribution +0.070),0.5
